label,Beacon_1,Beacon_2,Beacon_3,Beacon_4,Beacon_5,Beacon_6,Beacon_7
21.0,0.4,0.5652173913043478,0.2307692307692307,0.5263157894736842,0.5945945945945946,0.9183673469387756,0.3555555555555555
22.0,0.25,0.391304347826087,0.282051282051282,0.5526315789473685,0.6756756756756757,0.673469387755102,0.3333333333333333
23.0,0.425,0.4782608695652174,0.358974358974359,0.6578947368421053,0.5,0.6122448979591837,0.3333333333333333
24.0,0.45,0.3260869565217391,0.282051282051282,0.6578947368421053,0.4594594594594595,0.3673469387755102,0.4444444444444444
25.0,0.35,0.4347826086956521,0.1538461538461538,0.6052631578947368,0.6216216216216216,0.7142857142857143,0.4666666666666667
26.0,0.55,0.4130434782608695,0.5641025641025641,0.3684210526315789,0.6216216216216216,0.6530612244897959,0.5777777777777777
27.0,0.275,0.4347826086956521,0.3846153846153846,0.631578947368421,0.7027027027027027,0.5918367346938775,0.2444444444444444
28.0,0.35,0.5,0.3333333333333333,0.5,0.7297297297297297,0.3877551020408163,0.4666666666666667
29.0,0.475,0.6956521739130435,0.2564102564102564,0.5,0.6756756756756757,0.1428571428571428,0.5111111111111111
30.0,0.25,0.5652173913043478,0.282051282051282,0.5,0.7567567567567568,0.5510204081632653,0.5333333333333333
41.0,0.525,0.2608695652173913,0.1538461538461538,0.3947368421052631,0.7567567567567568,0.5510204081632653,0.3777777777777777
41.0,0.525,0.2608695652173913,0.1538461538461538,0.3947368421052631,0.7567567567567568,0.5510204081632653,0.3777777777777777
40.0,0.5,0.3623188405797102,0.5897435897435898,0.2368421052631578,0.7297297297297297,0.5714285714285714,0.3555555555555555
39.0,0.45,0.5217391304347826,0.5128205128205128,0.3947368421052631,0.918918918918919,0.2244897959183673,0.4444444444444444
38.0,0.45,0.5,0.9487179487179488,0.5,0.8918918918918919,0.3469387755102041,0.4888888888888889
37.0,0.475,0.391304347826087,0.9230769230769232,0.6578947368421053,0.6216216216216216,0.4081632653061224,0.6888888888888889
