Bin Start,Bin End,Count Data 1,Count Data 2
-97.0,-96.3,5.0,2.0
-96.3,-95.6,0.0,1.0
-95.6,-94.9,0.0,2.0
-94.9,-94.2,0.0,0.0
-94.2,-93.5,1.0,0.0
-93.5,-92.8,0.0,0.0
-92.8,-92.1,1.0,0.0
-92.1,-91.4,0.0,2.0
-91.4,-90.7,11.0,2.0
-90.7,-90.0,6.0,0.0
-90.0,-89.3,0.0,1.0
-89.3,-88.6,2.0,6.0
-88.6,-87.9,4.0,0.0
-87.9,-87.2,0.0,0.0
-87.2,-86.5,10.0,0.0
-86.5,-85.8,0.0,0.0
-85.8,-85.1,13.0,0.0
-85.1,-84.4,11.0,3.0
-84.4,-83.7,0.0,1.0
-83.7,-83.0,7.0,0.0
-83.0,-82.3,0.0,9.0
-82.3,-81.6,15.0,14.0
-81.6,-80.9,19.0,15.0
-80.9,-80.2,0.0,0.0
-80.2,-79.5,10.0,8.0
-79.5,-78.8,2.0,9.0
-78.8,-78.1,0.0,0.0
-78.1,-77.4,10.0,6.0
-77.4,-76.7,0.0,8.0
-76.7,-76.0,20.0,0.0
-76.0,-75.3,7.0,1.0
-75.3,-74.6,0.0,2.0
-74.6,-73.9,5.0,3.0
-73.9,-73.2,0.0,0.0
-73.2,-72.5,10.0,0.0
-72.5,-71.8,17.0,4.0
-71.8,-71.1,0.0,0.0
-71.1,-70.4,7.0,8.0
-70.4,-69.7,12.0,21.0
-69.7,-69.0,0.0,0.0
-69.0,-68.3,15.0,8.0
-68.3,-67.6,0.0,9.0
-67.6,-66.9,18.0,9.0
-66.9,-66.2,3.0,0.0
-66.2,-65.5,0.0,14.0
-65.5,-64.80000000000001,8.0,3.0
-64.80000000000001,-64.1,0.0,0.0
-64.1,-63.400000000000006,0.0,4.0
-63.400000000000006,-62.7,0.0,12.0
-62.7,-62.0,0.0,0.0
-62.0,-61.300000000000004,2.0,4.0
-61.300000000000004,-60.6,0.0,13.0
-60.6,-59.900000000000006,0.0,21.0
-59.900000000000006,-59.2,6.0,0.0
-59.2,-58.5,0.0,9.0
-58.5,-57.800000000000004,4.0,10.0
-57.800000000000004,-57.1,0.0,0.0
-57.1,-56.400000000000006,0.0,13.0
-56.400000000000006,-55.7,2.0,5.0
-55.7,-55.0,8.0,4.0
